factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mono_pwy212_pc3 2 2 0.85 0.013 0.054 0.742
mono_pwy218_pc2 2 2 0.005 -0.071 1 0.01
mono_pwy226_pc1 2 2 0.231 0.18 0.874 0.4
mono_pwy240_pc2 2 2 0.12 0.103 0.965 0.237
mono_pwy265_pc3 2 2 0.112 0.059 0.969 0.223
mono_pwy266_pc4 2 2 0.882 -0.011 0.034 0.783
mono_pwy275_pc2 2 2 0.853 -0.011 0.052 0.743
mono_pwy283_pc5 2 2 0.76 0.014 0.136 0.639
mono_pwy28_pc1 2 2 0.124 -0.139 0.963 0.171
mono_pwy294_pc5 2 2 0.843 0.007 0.059 0.735
mono_pwy302_pc4 3 3 0.86 -0.011 0.02 0.878
mono_pwy303_pc4 2 2 0.066 0.072 0.989 0.09
mono_pwy305_pc5 2 2 0.851 -0.014 0.054 0.742
mono_pwy308_pc3 2 2 0.063 -0.074 0.99 0.085
mono_pwy318_pc4 2 2 0.797 -0.015 0.098 0.689
mono_pwy31_pc1 2 2 0.836 -0.028 0.065 0.728
mono_pwy329_pc4 2 2 0.856 -0.013 0.05 0.748
mono_pwy36_pc1 2 2 0.133 -0.112 0.957 0.238
mono_pwy37_pc1 2 2 0.971 0.006 0.002 0.945
mono_pwy43_pc4 2 2 0.865 0.02 0.044 0.74
mono_pwy50_pc5 3 3 0.475 0.044 0.275 0.41
mono_pwy56_pc1 4 4 0.498 0.089 0.164 0.52
mono_pwy5_pc3 3 3 0.68 0.022 0.102 0.673
mono_pwy66_pc4 2 2 0.872 0.012 0.04 0.766
mono_pwy80_pc4 2 2 0.947 -0.008 0.007 0.9
mono_pwy89_pc2 2 2 0.044 -0.061 0.995 0.101
mono_pwy95_pc5 2 2 0.826 -0.009 0.073 0.717
mono_pwy99_pc3 2 2 0.035 0.077 0.997 0.047
mpv_pwy101_pc2 3 3 0.007 -0.107 0.987 0.024
mpv_pwy105_pc2 2 2 0.013 -0.154 1 0.023
mpv_pwy10_pc4 2 2 0.886 -0.018 0.032 0.803
mpv_pwy116_pc4 2 2 0.124 -0.047 0.963 0.226
mpv_pwy124_pc4 2 2 0.121 0.055 0.964 0.219
mpv_pwy138_pc4 2 2 0.101 -0.054 0.975 0.182
mpv_pwy155_pc5 2 2 0.044 -0.056 0.995 0.086
mpv_pwy158_pc3 2 2 0.034 -0.077 0.997 0.078
mpv_pwy178_pc5 3 3 0.641 0.025 0.129 0.641
mpv_pwy188_pc5 3 3 0.151 0.115 0.721 0.212
mpv_pwy191_pc4 2 2 0.081 -0.042 0.984 0.154
mpv_pwy200_pc1 2 2 0.853 -0.027 0.053 0.745
mpv_pwy203_pc3 2 2 0.902 -0.011 0.024 0.817
mpv_pwy221_pc4 2 2 0.127 0.062 0.961 0.233
mpv_pwy232_pc3 2 2 0.092 0.061 0.979 0.187
mpv_pwy247_pc2 4 3 0.258 -0.162 0.393 0.206
mpv_pwy249_pc3 2 2 0.089 -0.067 0.981 0.17
