factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
hgb_pwy226_pc5 3 3 0.537 -0.043 0.214 0.389
hgb_pwy229_pc4 2 2 0.275 -0.154 0.824 0.445
hgb_pwy22_pc3 2 2 0.923 0.012 0.014 0.809
hgb_pwy236_pc4 2 2 0.686 0.048 0.224 0.523
hgb_pwy237_pc4 2 2 0.326 -0.091 0.76 0.481
hgb_pwy241_pc1 2 2 0.971 -0.006 0.002 0.917
hgb_pwy242_pc5 3 3 0.745 -0.021 0.065 0.8
hgb_pwy243_pc4 2 1 0.878 -0.024 0.036 0.693
hgb_pwy246_pc5 2 2 0.085 -0.07 0.982 0.025
hgb_pwy257_pc5 2 2 0.955 -0.004 0.005 0.857
hgb_pwy266_pc4 2 2 0.334 -0.051 0.749 0.242
hgb_pwy271_pc5 2 2 0.277 -0.073 0.822 0.46
hgb_pwy276_pc5 3 3 0.268 -0.032 0.536 0.275
hgb_pwy282_pc1 2 2 0.997 0 0 0.995
hgb_pwy282_pc3 2 2 0.007 0.051 1 0.026
hgb_pwy284_pc4 2 2 0.295 0.071 0.801 0.469
hgb_pwy286_pc5 4 4 0.136 -0.026 0.578 0.13
hgb_pwy291_pc4 2 2 0.751 -0.031 0.145 0.549
hgb_pwy298_pc4 3 3 0.292 -0.027 0.501 0.287
hgb_pwy301_pc4 2 2 0.315 -0.088 0.774 0.462
hgb_pwy304_pc2 2 2 0.344 0.127 0.736 0.485
hgb_pwy305_pc4 2 2 0.897 -0.012 0.026 0.69
hgb_pwy308_pc3 4 4 0.303 0.068 0.339 0.241
hgb_pwy309_pc1 3 3 0.473 -0.067 0.278 0.34
hgb_pwy310_pc3 2 2 0.327 -0.111 0.759 0.481
hgb_pwy311_pc4 2 2 0.024 0.045 0.999 0.088
hgb_pwy313_pc4 2 2 0.229 0.114 0.877 0.431
hgb_pwy314_pc4 2 2 0.942 0.005 0.008 0.803
hgb_pwy319_pc5 2 2 0.318 0.084 0.77 0.463
hgb_pwy328_pc4 2 2 0.337 0.059 0.745 0.252
hgb_pwy329_pc4 2 2 0.597 -0.048 0.35 0.613
hgb_pwy332_pc5 2 2 0.717 0.048 0.185 0.531
hgb_pwy36_pc2 2 2 0.027 0.117 0.998 0.066
hgb_pwy46_pc3 2 2 0.312 0.149 0.779 0.477
hgb_pwy48_pc3 2 2 0.312 -0.311 0.779 0.468
hgb_pwy89_pc2 2 2 0.319 -0.051 0.769 0.187
hgb_pwy89_pc4 3 3 0.367 -0.075 0.401 0.253
hgb_pwy91_pc4 2 2 0.712 0.065 0.191 0.53
lymph_pwy102_pc2 2 2 0.407 0.044 0.644 0.416
lymph_pwy109_pc5 3 3 0.681 -0.045 0.102 0.656
lymph_pwy115_pc4 2 2 0.6 -0.071 0.346 0.516
lymph_pwy118_pc4 2 2 0.847 0.009 0.057 0.683
lymph_pwy129_pc4 3 2 0.246 -0.063 0.569 0.25
lymph_pwy152_pc1 2 2 0.614 -0.031 0.325 0.628
lymph_pwy157_pc2 2 1 0.827 -0.041 0.072 0.611
lymph_pwy168_pc5 2 1 0.844 0.028 0.059 0.646
lymph_pwy173_pc3 3 2 0.532 -0.03 0.219 0.422
lymph_pwy176_pc5 2 2 0.19 0.072 0.913 0.41
lymph_pwy187_pc3 2 2 0.153 -0.075 0.943 0.362
lymph_pwy188_pc5 2 2 0.662 0.056 0.257 0.558
lymph_pwy18_pc2 2 2 0.254 -0.057 0.849 0.114
lymph_pwy194_pc5 2 2 0.04 -0.062 0.996 0.125
lymph_pwy202_pc3 2 1 0.802 -0.027 0.094 0.58
lymph_pwy203_pc2 2 1 0.173 0.096 0.928 0.391
lymph_pwy212_pc4 2 2 0.503 0.047 0.496 0.484
lymph_pwy218_pc5 4 4 0.114 0.085 0.62 0.111
lymph_pwy21_pc5 3 3 0.036 -0.121 0.93 0.156
lymph_pwy233_pc5 2 2 0.876 -0.014 0.037 0.675
lymph_pwy251_pc3 2 2 0.004 -0.084 1 0.01
lymph_pwy255_pc4 2 2 0.301 0.045 0.792 0.188
lymph_pwy260_pc2 3 2 0.257 -0.085 0.552 0.258
lymph_pwy263_pc3 2 1 0.1 0.107 0.975 0.094
lymph_pwy265_pc5 2 2 0.126 0.051 0.961 0.033
lymph_pwy26_pc1 2 2 0.202 -0.12 0.903 0.4
lymph_pwy276_pc4 2 2 0.839 0.028 0.062 0.621
lymph_pwy278_pc3 2 2 0.026 0.112 0.998 0.02
lymph_pwy280_pc3 3 3 0.702 0.018 0.089 0.706
lymph_pwy284_pc4 2 2 0.503 -0.039 0.495 0.486
lymph_pwy287_pc3 2 2 0.001 0.045 1 0.003
lymph_pwy293_pc4 2 2 0.774 -0.02 0.121 0.563
lymph_pwy294_pc5 2 1 0.852 -0.01 0.053 0.665
lymph_pwy2_pc4 2 2 0.667 -0.026 0.249 0.541
lymph_pwy302_pc4 3 2 0.016 -0.118 0.969 0.023
lymph_pwy310_pc5 2 2 0.146 -0.076 0.949 0.364
lymph_pwy312_pc4 2 2 0.061 0.038 0.991 0.164
lymph_pwy320_pc2 2 1 0.252 0.081 0.851 0.446
lymph_pwy323_pc5 2 1 0.283 -0.084 0.815 0.453
lymph_pwy324_pc5 2 2 0.524 0.046 0.462 0.518
lymph_pwy326_pc5 2 2 0.113 -0.045 0.969 0.047
lymph_pwy48_pc3 2 2 0.902 0.018 0.024 0.733
lymph_pwy6_pc2 2 2 0.505 0.108 0.492 0.485
lymph_pwy70_pc2 2 2 0.672 -0.086 0.243 0.558
lymph_pwy77_pc3 2 2 0.681 -0.034 0.23 0.541
lymph_pwy77_pc5 2 2 0.356 0.071 0.719 0.318
lymph_pwy87_pc3 2 2 0.004 -0.093 1 0.009
lymph_pwy96_pc5 2 2 0.929 -0.006 0.012 0.835
mch_pwy103_pc1 4 4 0.043 -0.042 0.792 0.031
mch_pwy105_pc1 3 3 0.319 0.08 0.464 0.299
mch_pwy106_pc1 2 2 0.05 0.1 0.994 0.108
mch_pwy107_pc1 2 2 0.013 0.073 1 0.011
mch_pwy133_pc2 2 2 0.074 0.073 0.987 0.157
mch_pwy149_pc4 2 2 0.086 0.09 0.982 0.178
