factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
EUR.CD_pwy325_pc4 2 0 0.833 -0.262 0.688 -0.423055728389766 8.20452256304073e-08 0.644
EUR.CD_pwy325_pc5 4 4 0.17 1.499 0.114 -0.0783639962768793 0.924858973917646 0.951
EUR.CD_pwy326_pc2 2 2 0.01 -1.039 0.004 -1.02127526658416 7.96091551333415e-22 0.241
EUR.CD_pwy326_pc4 3 0 0.104 1.061 0.067 0.497173532454079 7.51170589766159e-12 0.574
EUR.CD_pwy326_pc5 2 2 0.89 -0.298 0.798 0.432750526849718 0.0130395688503803 0.743
EUR.CD_pwy331_pc2 3 3 0.001 1.232 0.001 1.19933988657753 1.89929642909955e-28 0.234
EUR.CD_pwy39_pc4 2 2 0.763 -0.442 0.65 0.113162401122539 0.381253048613921 0.88
EUR.CD_pwy52_pc4 2 2 0.064 -1.778 0.055 -1.62076517494846 1.44956446321504e-22 0.335
EUR.CD_pwy65_pc4 2 2 0.334 2.069 0.343 2.59155350028805 7.03413765055019e-42 0.168
EUR.CD_pwy71_pc2 2 2 0.026 -2.178 0.031 -2.1252683063325 5.63067733754033e-19 0.382
EUR.CD_pwy81_pc4 2 2 0.405 1.045 0.321 -0.368085972979179 0.00837482280610208 0.967
EUR.CD_pwy84_pc3 2 2 0.192 -0.974 0.311 -1.04135826642002 4.56760811458779e-49 0.046
EUR.CD_pwy85_pc2 3 3 0.019 -1.493 0.056 -1.43259209532667 6.504324420587e-58 0.092
