factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy156_peer2 2 2 0.016 0.154 0.027
pwy174_peer2 2 2 0.911 0.026 0.859
pwy184_peer3 2 2 1 0 1
pwy185_peer4 3 3 0.228 0.141 0.199
pwy198_peer2 2 2 0.134 -0.12 0.217
pwy207_peer3 2 2 0.15 -0.108 0.231
pwy244_peer2 2 2 0.968 0.005 0.939
pwy295_peer5 2 2 0.158 -0.095 0.203
pwy3_peer4 2 2 0.168 -0.255 0.281
pwy321_peer3 3 3 0.076 -0.263 0.156
pwy326_peer3 3 3 0.009 -0.154 0.029
pwy326_peer5 3 3 0.991 0.002 0.99
pwy33_peer3 3 3 0.588 -0.054 0.563
pwy331_peer3 2 2 0.027 -0.123 0.051
pwy49_peer4 4 4 0.118 0.209 0.122
pwy97_peer4 2 2 0.057 -0.154 0.1
pwy99_peer4 2 2 0.057 0.164 0.1
pwy100_peer2 2 2 0.049 0.181 0.096
pwy13_peer1 2 2 0.959 -0.008 0.931
pwy133_peer5 2 2 0.564 -0.212 0.593
pwy134_peer1 2 2 0.516 0.085 0.453
pwy14_peer1 3 3 0.406 0.338 0.362
pwy15_peer1 2 2 0.407 -0.524 0.394
pwy171_peer5 2 2 0.108 0.187 0.099
pwy175_peer1 2 2 0.374 0.498 0.362
pwy175_peer5 2 2 0.865 -0.039 0.823
pwy179_peer4 2 2 0.023 0.127 0.031
pwy183_peer4 2 2 0.244 -0.234 0.303
pwy194_peer1 3 3 0.395 0.331 0.353
pwy195_peer4 2 2 0.052 -0.155 0.056
pwy198_peer1 2 2 0.12 -0.187 0.206
pwy209_peer1 2 2 0.48 0.439 0.461
pwy210_peer1 2 2 0.493 1.038 0.469
pwy215_peer3 3 3 0.594 0.068 0.575
pwy218_peer1 2 2 0.484 0.417 0.466
pwy223_peer1 2 2 0.483 1.163 0.464
pwy226_peer1 2 2 0.496 0.431 0.47
pwy236_peer1 2 2 0.481 -1.141 0.461
pwy242_peer1 2 2 0.472 -0.435 0.457
pwy278_peer3 2 2 0.927 -0.031 0.879
pwy298_peer5 2 2 0.011 -0.116 0.009
pwy328_peer1 2 2 0.123 -0.15 0.21
pwy329_peer1 3 3 0.384 0.333 0.348
pwy35_peer1 2 2 0.414 0.494 0.404
pwy46_peer1 2 2 0.466 0.419 0.455
pwy57_peer1 2 2 0.411 -0.457 0.4
pwy58_peer1 2 2 0.386 0.503 0.372
pwy61_peer1 2 2 0.39 0.507 0.378
