factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy320_pc3 9 0 0.003 0.049 0.001
pwy321_pc5 9 0 0.003 0.051 0.002
pwy322_pc4 3 0 0.078 0.08 0.08
pwy325_pc4 8 0 0.002 0.053 0
pwy325_pc5 4 0 0.885 -0.007 0.875
pwy326_pc4 9 0 0.002 -0.049 0
pwy331_pc4 3 3 0.087 -0.069 0.036
pwy40_pc2 2 2 0.607 -0.034 0.596
pwy44_pc3 2 2 0.075 -0.043 0.064
pwy47_pc3 2 2 0.092 0.043 0.073
pwy64_pc3 2 2 0.967 -0.006 0.92
pwy85_pc4 2 2 0.775 0.024 0.676
pwy88_pc4 2 2 0.148 -0.101 0.28
pwy90_pc5 3 3 0.101 -0.166 0.079
pwy93_pc2 2 0 0.887 0.011 0.785
pwy97_pc3 3 3 0.05 -0.063 0.12
pwy97_pc4 3 3 0.004 -0.057 0.019
pwy99_pc5 2 2 0.077 0.103 0.156
pwy115_pc5 2 2 0.217 0.069 0.333
pwy141_pc4 2 2 0.109 -0.05 0.159
pwy182_pc4 2 2 0.033 -0.067 0.055
pwy193_pc5 3 3 0.267 0.062 0.269
pwy208_pc2 2 2 0.923 0.007 0.854
pwy226_pc4 2 2 0.324 -0.161 0.451
pwy238_pc5 4 4 0.129 -0.065 0.101
pwy250_pc5 2 2 0 0.107 0.002
pwy264_pc3 2 2 0.075 0.11 0.132
pwy316_pc5 2 2 0.96 0.004 0.927
pwy320_pc3 4 4 0.135 -0.064 0.107
pwy321_pc5 2 0 0.982 -0.002 0.965
pwy325_pc4 3 0 0.669 -0.026 0.675
pwy326_pc4 3 0 0.697 0.022 0.708
pwy328_pc4 2 2 0.897 0.016 0.827
pwy330_pc4 2 2 0.859 -0.016 0.803
pwy46_pc4 2 2 0.069 0.1 0.109
pwy60_pc3 2 2 0.085 -0.08 0.112
pwy78_pc4 2 2 0.004 0.067 0.003
pwy84_pc2 2 2 0.077 0.064 0.125
pwy95_pc2 3 3 0.052 0.023 0.086
pwy103_pc2 2 2 0.898 -0.008 0.816
pwy11_pc1 2 2 0.773 0.028 0.704
pwy111_pc2 3 0 0.653 0.008 0.644
pwy113_pc2 2 0 0.99 0 0.984
pwy114_pc2 2 0 0.011 0.027 0.025
