factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy699_pc5 3 3 0.007 0.481 0.986 0.051
EUR.IBD_pwy700_pc5 3 3 0.007 0.481 0.986 0.051
EUR.IBD_pwy702_pc2 2 1 0.179 1.304 0.923 0.381
EUR.IBD_pwy705_pc3 2 2 0.891 -0.117 0.029 0.775
EUR.IBD_pwy708_pc4 2 2 0.998 -0.002 0 0.999
EUR.IBD_pwy709_pc5 2 1 0.194 -0.489 0.91 0.159
EUR.IBD_pwy713_pc5 2 2 0.927 -0.081 0.013 0.8
EUR.IBD_pwy714_pc5 3 3 0.708 -0.235 0.085 0.706
EUR.IBD_pwy715_pc4 2 2 0.194 0.579 0.91 0.313
EUR.IBD_pwy716_pc3 2 2 0.894 0.125 0.027 0.728
EUR.IBD_pwy716_pc5 3 3 0.121 0.709 0.773 0.101
EUR.IBD_pwy719_pc4 2 2 0.821 -0.333 0.077 0.571
EUR.IBD_pwy721_pc1 2 2 0.911 -0.172 0.019 0.737
EUR.IBD_pwy722_pc2 3 3 0.326 -0.835 0.454 0.293
EUR.IBD_pwy722_pc3 2 2 0.909 0.13 0.02 0.722
EUR.IBD_pwy724_pc3 2 2 1 0 0 0.997
EUR.IBD_pwy726_pc4 2 2 0.541 -0.598 0.436 0.499
EUR.IBD_pwy735_pc2 3 3 0.003 0.948 0.995 0.024
