factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy236_pc4 2 2 0.104 0.491 0.27
pwy24_pc3 2 2 0.712 0.132 0.55
pwy255_pc3 3 3 0.005 -0.22 0.058
pwy256_pc3 2 2 0.107 0.201 0.208
pwy272_pc1 2 2 0.582 -0.328 0.525
pwy293_pc4 2 2 0.063 0.584 0.23
pwy306_pc5 2 2 0.014 0.62 0.008
pwy309_pc5 3 3 0.394 0.181 0.349
pwy310_pc5 2 2 0.591 0.184 0.582
pwy317_pc4 2 2 0.625 0.2 0.541
pwy318_pc4 2 2 0.514 -0.251 0.545
pwy325_pc5 2 2 0.058 -0.387 0.034
pwy4_pc3 2 2 0.71 -0.239 0.555
pwy40_pc5 2 2 0.098 -0.419 0.279
pwy41_pc2 2 2 0.455 0.517 0.438
pwy42_pc1 2 2 0.813 -0.142 0.613
pwy47_pc5 2 2 0.637 -0.159 0.589
pwy49_pc2 2 2 0.076 0.374 0.256
pwy55_pc2 5 5 0.818 0.074 0.812
pwy55_pc3 2 2 0.08 0.317 0.053
pwy57_pc1 2 2 0.772 -0.161 0.618
pwy61_pc4 2 2 0.053 0.291 0.039
pwy65_pc4 2 2 0.776 0.187 0.587
pwy7_pc2 2 2 0.041 0.329 0.161
pwy73_pc3 2 2 0.108 0.661 0.298
pwy84_pc2 2 2 0.009 -0.3 0.044
pwy84_pc3 2 2 0.025 -0.139 0.095
pwy85_pc2 2 2 0.031 -0.15 0.104
pwy85_pc3 2 2 0.072 -0.197 0.163
pwy85_pc5 2 2 0.014 0.294 0.059
pwy86_pc4 2 2 0.024 0.412 0.025
pwy89_pc3 2 2 0.023 -0.19 0.091
pwy89_pc5 2 2 0.997 0.001 0.987
pwy9_pc3 2 2 0.702 0.201 0.55
pwy95_pc3 3 3 0.004 0.679 0.027
pwy99_pc2 4 4 0.495 -0.236 0.464
pwy1_pc1 3 2 0.035 0.732 0.076
pwy10_pc1 6 5 0.1 -0.555 0.09
pwy103_pc1 2 1 NaN -0.98 0
pwy104_pc1 2 2 0.231 -1.76 0.369
pwy11_pc3 2 2 0.817 -0.248 0.656
pwy132_pc3 2 1 NaN 0.911 0
pwy134_pc4 2 2 0.431 2.593 0.518
